0,0,-3
0.25,0,-9
0.4,0,9
0.6,0,-1
0.8,0,1
1,0,-3
1.5,0,18
2,0,41
4,0,56
6.8,0,59
0,1,-12
0.25,1,-11
0.4,1,-4
0.6,1,0
0.8,1,9
1,1,0
1.5,1,21
2,1,33
4,1,56
6.8,1,64
0,2,-3
0.25,2,-4
0.4,2,15
0.6,2,5
0.8,2,22
1,2,19
1.5,2,29
2,2,44
4,2,59
6.8,2,59
0,4,-12
0.25,4,10
0.4,4,5
0.6,4,14
0.8,4,24
1,4,25
1.5,4,35
2,4,30
4,4,59
6.8,4,68
0,6,9
0.25,6,14
0.4,6,31
0.6,6,26
0.8,6,32
1,6,3
1.5,6,52
2,6,55
4,6,66
6.8,6,71
0,8,21
0.25,8,29
0.4,8,40
0.6,8,36
0.8,8,42
1,8,37
1.5,8,53
2,8,62
4,8,71
6.8,8,68
0,12,36
0.25,12,44
0.4,12,57
0.6,12,51
0.8,12,66
1,12,62
1.5,12,72
2,12,74
4,12,75
6.8,12,75
0,16,57
0.25,16,56
0.4,16,62
0.6,16,57
0.8,16,69
1,16,66
1.5,16,74
2,16,77
4,16,80
6.8,16,74
0,20,67
0.25,20,63
0.4,20,69
0.6,20,66
0.8,20,79
1,20,75
1.5,20,81
2,20,78
4,20,83
6.8,20,80
0,22,71
0.25,22,63
0.4,22,71
0.6,22,68
0.8,22,78
1,22,75
1.5,22,80
2,22,78
4,22,82
6.8,22,77
